timestamp,modelName,count
2025-12-15 00:00:00,iPhone 13,192982
2025-12-15 00:00:00,iPhone 15,145245
2025-12-15 00:00:00,iPhone 16 Pro,139946
2025-12-15 00:00:00,iPhone 14,122976
2025-12-15 00:00:00,iPhone 15 Pro,117417
2025-12-15 00:00:00,iPhone 16 Pro Max,113750
2025-12-15 00:00:00,iPhone 15 Pro Max,110555
2025-12-15 00:00:00,iPhone 16,105297
2025-12-15 00:00:00,iPhone 11,97692
2025-12-15 00:00:00,iPhone 14 Pro,88177
2025-12-22 00:00:00,iPhone 13,180454
2025-12-22 00:00:00,iPhone 15,135586
2025-12-22 00:00:00,iPhone 16 Pro,129987
2025-12-22 00:00:00,iPhone 14,116279
2025-12-22 00:00:00,iPhone 15 Pro,109397
2025-12-22 00:00:00,iPhone 16 Pro Max,108669
2025-12-22 00:00:00,iPhone 15 Pro Max,105351
2025-12-22 00:00:00,iPhone 16,99991
2025-12-22 00:00:00,iPhone 11,90027
2025-12-22 00:00:00,iPhone 14 Pro,81064
2025-12-29 00:00:00,iPhone 13,194055
2025-12-29 00:00:00,iPhone 15,148695
2025-12-29 00:00:00,iPhone 16 Pro,142985
2025-12-29 00:00:00,iPhone 14,126922
2025-12-29 00:00:00,iPhone 16 Pro Max,117210
2025-12-29 00:00:00,iPhone 15 Pro,116635
2025-12-29 00:00:00,iPhone 15 Pro Max,111694
2025-12-29 00:00:00,iPhone 16,110695
2025-12-29 00:00:00,iPhone 11,96190
2025-12-29 00:00:00,iPhone 14 Pro,88913
2026-01-05 00:00:00,iPhone 13,195830
2026-01-05 00:00:00,iPhone 15,151558
2026-01-05 00:00:00,iPhone 16 Pro,144061
2026-01-05 00:00:00,iPhone 14,128445
2026-01-05 00:00:00,iPhone 15 Pro,119204
2026-01-05 00:00:00,iPhone 16 Pro Max,118689
2026-01-05 00:00:00,iPhone 16,113862
2026-01-05 00:00:00,iPhone 15 Pro Max,113085
2026-01-05 00:00:00,iPhone 11,97507
2026-01-05 00:00:00,iPhone 14 Pro,89385
2026-01-12 00:00:00,iPhone 13,194276
2026-01-12 00:00:00,iPhone 15,149652
2026-01-12 00:00:00,iPhone 16 Pro,141668
2026-01-12 00:00:00,iPhone 14,126188
2026-01-12 00:00:00,iPhone 16 Pro Max,118596
2026-01-12 00:00:00,iPhone 15 Pro,117275
2026-01-12 00:00:00,iPhone 16,111762
2026-01-12 00:00:00,iPhone 15 Pro Max,111158
2026-01-12 00:00:00,iPhone 11,94130
2026-01-12 00:00:00,iPhone 14 Pro,87585
2026-01-19 00:00:00,iPhone 13,187196
2026-01-19 00:00:00,iPhone 15,145739
2026-01-19 00:00:00,iPhone 16 Pro,137637
2026-01-19 00:00:00,iPhone 14,122736
2026-01-19 00:00:00,iPhone 16 Pro Max,114068
2026-01-19 00:00:00,iPhone 15 Pro,113134
2026-01-19 00:00:00,iPhone 16,109089
2026-01-19 00:00:00,iPhone 15 Pro Max,108592
2026-01-19 00:00:00,iPhone 11,92570
2026-01-19 00:00:00,iPhone 14 Pro,85545
2026-01-26 00:00:00,iPhone 13,182043
2026-01-26 00:00:00,iPhone 15,141711
2026-01-26 00:00:00,iPhone 16 Pro,137612
2026-01-26 00:00:00,iPhone 14,119502
